
2024/01/26 (03:15:27) | ===> btop++ v.1.3.0
2024/01/26 (03:15:27) | WARNING: Failed to set locale en_CA.UTF-8 continuing anyway.
2024/01/26 (03:15:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/26 (03:27:03) | ===> btop++ v.1.3.0
2024/01/26 (03:27:03) | WARNING: Failed to set locale en_CA.UTF-8 continuing anyway.
2024/01/26 (03:27:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/26 (22:33:42) | ===> btop++ v.1.3.0
2024/01/26 (22:33:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/27 (00:30:39) | ===> btop++ v.1.3.0
2024/01/27 (00:30:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/03 (00:35:33) | ===> btop++ v.1.3.0
2024/02/03 (00:35:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/03 (00:38:54) | ===> btop++ v.1.3.0
2024/02/03 (00:38:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/03 (01:02:02) | ===> btop++ v.1.3.0
2024/02/03 (01:02:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/03 (01:08:00) | ===> btop++ v.1.3.0
2024/02/03 (01:08:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported
